,year,doy,tile,sensor,HLSFAPAR,HLSFAPARstd,sza,site
155,2016,266,T19TCJ,L30,0.94378865,0.02452512,46.38,US-Bar
156,2016,291,T19TCJ,L30,0.8118457,0.109501384,55.53,US-Bar
157,2016,323,T19TCJ,L30,0.88021404,0.05935922,65.13,US-Bar
158,2017,140,T19TCJ,L30,0.9149101,0.044321314,28.0,US-Bar
159,2017,165,T19TCJ,L30,0.9519716,0.016465768,26.38,US-Bar
160,2017,172,T19TCJ,L30,0.9543548,0.014243748,25.68,US-Bar
161,2017,213,T19TCJ,L30,0.94875705,0.019806601,31.714444444444442,US-Bar
162,2017,245,T19TCJ,L30,0.94310737,0.024368618,40.17,US-Bar
163,2017,268,T19TCJ,L30,0.9318874,0.035435695,47.36,US-Bar
164,2017,277,T19TCJ,L30,0.92124873,0.04545271,50.93,US-Bar
165,2017,284,T19TCJ,L30,0.87512994,0.074455045,53.01,US-Bar
166,2017,293,T19TCJ,L30,0.8081752,0.09921515,56.47,US-Bar
167,2017,300,T19TCJ,L30,0.8437364,0.081341065,58.46,US-Bar
168,2018,127,T19TCJ,L30,0.75704026,0.10151843,30.900000000000002,US-Bar
169,2018,143,T19TCJ,L30,0.9282518,0.03597938,27.6,US-Bar
170,2018,168,T19TCJ,L30,0.9483626,0.018787902,26.48,US-Bar
171,2018,191,T19TCJ,L30,0.9535479,0.017023746,27.25,US-Bar
172,2018,200,T19TCJ,L30,0.9552412,0.016916892,29.310000000000002,US-Bar
173,2018,232,T19TCJ,L30,0.9433026,0.024471186,36.36,US-Bar
174,2018,239,T19TCJ,L30,0.9450054,0.02295414,37.75,US-Bar
175,2018,248,T19TCJ,L30,0.94738495,0.021354612,41.08,US-Bar
176,2019,155,T19TCJ,L30,0.9408139,0.024381509,26.84,US-Bar
177,2019,178,T19TCJ,L30,0.9509591,0.017579516,25.91,US-Bar
178,2019,194,T19TCJ,L30,0.95623887,0.014942282,27.52,US-Bar
179,2019,210,T19TCJ,L30,0.9529272,0.016842213,30.27,US-Bar
180,2019,235,T19TCJ,L30,0.95659095,0.015431805,37.050000000000004,US-Bar
181,2019,242,T19TCJ,L30,0.9453516,0.022182977,38.53,US-Bar
182,2019,258,T19TCJ,L30,0.9467694,0.023558607,43.71333333333333,US-Bar
183,2019,267,T19TCJ,L30,0.9311669,0.03244178,47.26,US-Bar
184,2019,306,T19TCJ,L30,0.87756616,0.065850355,60.21,US-Bar
185,2020,142,T19TCJ,L30,0.8918179,0.06407055,28.47,US-Bar
186,2020,270,T19TCJ,L30,0.8864724,0.063782826,48.22,US-Bar
187,2020,334,T19TCJ,L30,0.8953142,0.05367832,67.44,US-Bar
188,2015,354,T19TCJ,S30,0.88295364,0.059954267,68.51,US-Bar
189,2016,289,T19TCJ,S30,0.8583045,0.08260658,53.660000000000004,US-Bar
190,2016,309,T19TCJ,S30,0.8083102,0.11047958,60.31,US-Bar
191,2016,319,T19TCJ,S30,0.87641096,0.063444585,63.13,US-Bar
192,2017,183,T19TCJ,S30,0.9513708,0.018577598,24.240000000000002,US-Bar
193,2017,278,T19TCJ,S30,0.9022025,0.054497432,49.97,US-Bar
194,2017,283,T19TCJ,S30,0.8940082,0.066679224,51.78,US-Bar
195,2018,128,T19TCJ,S30,0.7917764,0.09366835,28.91,US-Bar
196,2018,133,T19TCJ,S30,0.8664193,0.075370274,27.69,US-Bar
197,2018,138,T19TCJ,S30,0.89694923,0.059069898,26.61,US-Bar
198,2018,143,T19TCJ,S30,0.9324076,0.031207204,25.69,US-Bar
199,2018,163,T19TCJ,S30,0.9244927,0.038706724,23.66,US-Bar
200,2018,168,T19TCJ,S30,0.9478302,0.020515425,23.56,US-Bar
201,2018,173,T19TCJ,S30,0.9575431,0.015441416,23.63,US-Bar
202,2018,188,T19TCJ,S30,0.95672554,0.016648645,24.72,US-Bar
203,2018,218,T19TCJ,S30,0.94263434,0.023909884,30.27,US-Bar
204,2018,228,T19TCJ,S30,0.9454725,0.024348512,32.92,US-Bar
205,2018,238,T19TCJ,S30,0.9518655,0.016797839,35.89,US-Bar
206,2018,248,T19TCJ,S30,0.95062774,0.018852169,39.14,US-Bar
207,2018,278,T19TCJ,S30,0.90897393,0.053540904,49.870000000000005,US-Bar
208,2019,128,T19TCJ,S30,0.73976845,0.1038574,28.96,US-Bar
209,2019,158,T19TCJ,S30,0.9515663,0.017651351,23.92,US-Bar
210,2019,163,T19TCJ,S30,0.95370036,0.016880818,23.66,US-Bar
211,2019,168,T19TCJ,S30,0.95228714,0.017809449,23.55,US-Bar
212,2019,173,T19TCJ,S30,0.955593,0.0125871245,23.62,US-Bar
213,2019,178,T19TCJ,S30,0.9535287,0.015132005,23.830000000000002,US-Bar
214,2019,188,T19TCJ,S30,0.9587006,0.014341902,24.69,US-Bar
215,2019,213,T19TCJ,S30,0.9545254,0.01477977,29.02,US-Bar
